bolometer 7kOm sample 1,bolometer 7kOm sample 1,
4223.8498020172,0.0159234349,
4219.9924049377,0.0159832984,
4216.1350078583,0.0160554759,
4212.2776107788,0.0161790717,
4208.4202136993,0.016309794,
4204.5628166199,0.0163896047,
4200.7054195404,0.0163905323,
4196.8480224609,0.0163707435,
4192.9906253815,0.0164311565,
4189.133228302,0.0165610835,
4185.2758312225,0.0166744795,
4181.4184341431,0.0167457704,
4177.5610370636,0.0167901516,
4173.7036399841,0.0168484785,
4169.8462429047,0.0169514641,
4165.9888458252,0.0170495156,
4162.1314487457,0.0170912612,
4158.2740516663,0.0170997828,
4154.4166545868,0.0171448682,
4150.5592575073,0.0172467306,
4146.7018604279,0.0173239969,
