bolometer 5kOm sample 2.0,bolometer 5kOm sample 2.0,
4725.311422348,0.0067622941,
4721.4540252686,0.0068401024,
4717.5966281891,0.0069067813,
4713.7392311096,0.0069417525,
4709.8818340302,0.0069750338,
4706.0244369507,0.0070207827,
4702.1670398712,0.0070614191,
4698.3096427917,0.0070822695,
4694.4522457123,0.0070894342,
4690.5948486328,0.0070903283,
4686.7374515533,0.0070860153,
4682.8800544739,0.0071043009,
4679.0226573944,0.0071570594,
4675.1652603149,0.0072111627,
4671.3078632355,0.0072527323,
4667.450466156,0.0072866259,
4663.5930690765,0.0073079495,
4659.7356719971,0.0073260111,
4655.8782749176,0.0073526446,
4652.0208778381,0.0073784706,
4648.1634807587,0.0074141538,
4644.3060836792,0.0074803727,
4640.4486865997,0.0075410968,
4636.5912895203,0.0075494675,
4632.7338924408,0.0075369482,
4628.8764953613,0.0075640213,
4625.0190982819,0.0076180696,
4621.1617012024,0.0076622306,
4617.3043041229,0.007706082,
4613.4469070435,0.007757199,
4609.589509964,0.0077995309,
4605.7321128845,0.0078106243,
4601.8747158051,0.0077896733,
4598.0173187256,0.00778988,
4594.1599216461,0.0078463349,
4590.3025245667,0.007913108,
4586.4451274872,0.0079547381,
4582.5877304077,0.0079850368,
4578.7303333282,0.008011261,
4574.8729362488,0.0080436841,
4571.0155391693,0.0080755511,
4567.1581420898,0.0080807284,
4563.3007450104,0.0080775563,
4559.4433479309,0.0081015676,
4555.5859508514,0.0081531396,
4551.728553772,0.008204231,
4547.8711566925,0.0082237143,
4544.013759613,0.0082164463,
4540.1563625336,0.0082385745,
4536.2989654541,0.0083167311,
4532.4415683746,0.0083911289,
4528.5841712952,0.0084085055,
4524.7267742157,0.0084050838,
4520.8693771362,0.0084426785,
4517.0119800568,0.0085053239,
4513.1545829773,0.008548243,
4509.2971858978,0.008563593,
4505.4397888184,0.0085668843,
4501.5823917389,0.0085912803,
4497.7249946594,0.0086257309,
4493.86759758,0.0086754346,
4490.0102005005,0.0087208552,
4486.152803421,0.0087035587,
4482.2954063416,0.0088202059,
4478.4380092621,0.0090275444,
4474.5806121826,0.0088011026,
4470.7232151031,0.0081319073,
4466.8658180237,0.0075081373,
4463.0084209442,0.0074310042,
4459.1510238647,0.0081746373,
4455.2936267853,0.0090273106,
4451.4362297058,0.0092255194,
4447.5788326263,0.0091526154,
4443.7214355469,0.0092060082,
