# cwd not inside a repo
# Loss.Nf                = 60
# Loss.fmin              = 45000000000.0
# Loss.fmax              = 155000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.003, 0.003)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 10
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (40, 40)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
188,5779.06,6015.48,-236.42,  0,0.0,reject
189,5779.06,5822.09,-43.03,  0,0.0,reject
196,5542.59,5545.01,-2.42,  0,0.0,reject
190,5779.06,5779.14,-0.08,  0,0.0,reject
197,5542.59,5948.83,-406.24,  0,0.0,reject
191,5779.06,6015.48,-236.42,  0,0.0,reject
198,5542.59,5978.83,-436.24,  0,0.0,reject
192,5779.06,6015.59,-236.53,  0,0.0,reject
199,5542.59,5635.15,-92.56,  0,0.0,reject
193,5779.06,5779.18,-0.12,  0,0.0,reject
194,5779.06,5779.24,-0.18,  0,0.0,reject
195,5779.06,6015.59,-236.53,  0,0.0,reject
200,5542.59,17076.31,-11533.72,  0,0.0,reject
196,5779.06,5779.06,0.0,  0,1.0,accept
201,5542.59,5542.86,-0.27,  0,0.0,reject
197,5779.06,6128.74,-349.68,  0,0.0,reject
202,5542.59,5752.81,-210.22,  0,0.0,reject
198,5779.06,5779.21,-0.15,  0,0.0,reject
203,5542.59,5544.44,-1.85,  0,0.0,reject
199,5779.06,5778.85,0.21,  0,inf,accept
204,5542.59,5533.82,8.77,  0,inf,accept
200,5778.85,5778.75,0.1,  0,46620615317316087689817641445166502732172859090468788260923589342160913187130792055247868316143531025628415759335663435245091708563664070531123032634225988189656879584670794312931465037367495672545268357857803515508234756240431260893184.0,accept
205,5533.82,5626.4,-92.58,  0,0.0,reject
201,5778.75,5791.38,-12.63,  0,0.0,reject
206,5533.82,5536.36,-2.54,  0,0.0,reject
202,5778.75,5778.39,0.36,  0,inf,accept
207,5533.82,5948.85,-415.03,  0,0.0,reject
203,5778.39,5821.1,-42.71,  0,0.0,reject
208,5533.82,5661.06,-127.24,  0,0.0,reject
204,5778.39,5778.18,0.21,  0,inf,accept
205,5778.18,5910.04,-131.86,  0,0.0,reject
209,5533.82,5626.2,-92.38,  0,0.0,reject
206,5778.18,6014.33,-236.15,  0,0.0,reject
210,5533.82,6138.12,-604.3,  0,0.0,reject
207,5778.18,5793.31,-15.13,  0,0.0,reject
211,5533.82,5537.64,-3.82,  0,0.0,reject
