reference.0,reference.0,
5253.7748222351,0.0252151191,
5249.9174251556,0.0253080837,
5246.0600280762,0.0253984779,
5242.2026309967,0.0254833959,
5238.3452339172,0.025573846,
5234.4878368378,0.0256649107,
5230.6304397583,0.0257509258,
5226.7730426788,0.0258440934,
5222.9156455994,0.0259320587,
5219.0582485199,0.0260205306,
5215.2008514404,0.0261118468,
5211.343454361,0.026203528,
5207.4860572815,0.026292298,
5203.628660202,0.0263852105,
5199.7712631226,0.0264748894,
5195.9138660431,0.0265738312,
5192.0564689636,0.0266676117,
5188.1990718842,0.026758194,
5184.3416748047,0.0268479288,
5180.4842777252,0.0269392096,
5176.6268806458,0.0270450003,
5172.7694835663,0.0271373075,
5168.9120864868,0.0272333808,
5165.0546894073,0.027323354,
5161.1972923279,0.027416816,
5157.3398952484,0.0275162905,
5153.4824981689,0.0276141465,
5149.6251010895,0.0277069062,
5145.76770401,0.0278011207,
5141.9103069305,0.0279029179,
5138.0529098511,0.0280008502,
5134.1955127716,0.0280967262,
5130.3381156921,0.0281951241,
5126.4807186127,0.0282920301,
5122.6233215332,0.0283911489,
5118.7659244537,0.0284912512,
5114.9085273743,0.028592499,
5111.0511302948,0.0286917873,
5107.1937332153,0.0288013406,
5103.3363361359,0.0288960878,
5099.4789390564,0.0290006287,
5095.6215419769,0.0291031711,
5091.7641448975,0.0292061865,
5087.906747818,0.029307995,
5084.0493507385,0.0294132307,
5080.1919536591,0.0295106862,
5076.3345565796,0.0296174232,
5072.4771595001,0.0297199674,
5068.6197624207,0.0298230872,
5064.7623653412,0.029932946,
5060.9049682617,0.0300410576,
5057.0475711823,0.0301416889,
5053.1901741028,0.0302507579,
5049.3327770233,0.0303573683,
5045.4753799438,0.0304630511,
5041.6179828644,0.0305763632,
5037.7605857849,0.030685775,
5033.9031887054,0.0307895727,
5030.045791626,0.0308985449,
5026.1883945465,0.031003803,
5022.330997467,0.0311256312,
5018.4736003876,0.0312282909,
5014.6162033081,0.0313424021,
5010.7588062286,0.0314510167,
5006.9014091492,0.0315565504,
5003.0440120697,0.0316718668,
4999.1866149902,0.0317822509,
4995.3292179108,0.0318913758,
4991.4718208313,0.0320067778,
4987.6144237518,0.0321229175,
4983.7570266724,0.0322367698,
4979.8996295929,0.0323524326,
4976.0422325134,0.0324685723,
4972.184835434,0.0325788222,
4968.3274383545,0.0326971114,
4964.470041275,0.0328126624,
4960.6126441956,0.0329276249,
4956.7552471161,0.0330468565,
4952.8978500366,0.0331645012,
4949.0404529572,0.0332855135,
4945.1830558777,0.0334009565,
4941.3256587982,0.0335204527,
4937.4682617188,0.0336320773,
4933.6108646393,0.0337535813,
4929.7534675598,0.0338689499,
4925.8960704803,0.0339875594,
4922.0386734009,0.0341192037,
4918.1812763214,0.0342371315,
4914.3238792419,0.034360528,
4910.4664821625,0.0344781056,
4906.609085083,0.0345976688,
4902.7516880035,0.0347223505,
4898.8942909241,0.0348473489,
4895.0368938446,0.0349677652,
4891.1794967651,0.0350935906,
4887.3220996857,0.0352146514,
4883.4647026062,0.0353455469,
4879.6073055267,0.0354659259,
4875.7499084473,0.0355892479,
4871.8925113678,0.0357198827,
4868.0351142883,0.035840299,
4864.1777172089,0.0359657854,
4860.3203201294,0.036092259,
4856.4629230499,0.0362230204,
4852.6055259705,0.0363515392,
4848.748128891,0.0364758,
4844.8907318115,0.0366075635,
4841.0333347321,0.0367365479,
4837.1759376526,0.0368629731,
4833.3185405731,0.0369971842,
4829.4611434937,0.037118949,
4825.6037464142,0.0372541398,
4821.7463493347,0.0373796336,
4817.8889522552,0.0375212617,
4814.0315551758,0.0376483575,
4810.1741580963,0.0377807692,
4806.3167610168,0.0379098989,
4802.4593639374,0.038045615,
4798.6019668579,0.0381792374,
4794.7445697784,0.0383119658,
4790.887172699,0.0384456515,
4787.0297756195,0.0385875478,
4783.17237854,0.0387149304,
4779.3149814606,0.0388539955,
4775.4575843811,0.0389830545,
4771.6001873016,0.0391234383,
4767.7427902222,0.0392642356,
4763.8853931427,0.0394032151,
4760.0279960632,0.0395474248,
4756.1705989838,0.0396788716,
4752.3132019043,0.0398198441,
4748.4558048248,0.0399636403,
4744.5984077454,0.04009974,
4740.7410106659,0.0402369052,
4736.8836135864,0.0403818041,
4733.026216507,0.0405168235,
4729.1688194275,0.0406621508,
4725.311422348,0.0408021733,
4721.4540252686,0.0409458429,
4717.5966281891,0.0410873257,
4713.7392311096,0.0412284806,
4709.8818340302,0.0413689129,
4706.0244369507,0.0415221229,
4702.1670398712,0.0416603535,
4698.3096427917,0.0418102518,
4694.4522457123,0.0419532396,
4690.5948486328,0.0420919955,
4686.7374515533,0.0422356129,
4682.8800544739,0.0423912071,
4679.0226573944,0.0425344706,
4675.1652603149,0.0426820517,
4671.3078632355,0.042830728,
4667.450466156,0.0429812893,
4663.5930690765,0.0431263223,
4659.7356719971,0.0432781726,
4655.8782749176,0.0434327573,
4652.0208778381,0.0435770079,
4648.1634807587,0.0437321067,
4644.3060836792,0.0438859612,
4640.4486865997,0.0440332256,
4636.5912895203,0.0441882908,
4632.7338924408,0.044344604,
4628.8764953613,0.0444898158,
4625.0190982819,0.0446486473,
4621.1617012024,0.0448045172,
4617.3043041229,0.0449573696,
4613.4469070435,0.0451080874,
4609.589509964,0.0452641658,
4605.7321128845,0.0454193726,
4601.8747158051,0.045577053,
4598.0173187256,0.0457331762,
4594.1599216461,0.0458846763,
4590.3025245667,0.0460440367,
4586.4451274872,0.0461966917,
4582.5877304077,0.0463541076,
4578.7303333282,0.0465183519,
4574.8729362488,0.0466686338,
4571.0155391693,0.0468267538,
4567.1581420898,0.0469823778,
4563.3007450104,0.0471409634,
4559.4433479309,0.0473048612,
4555.5859508514,0.0474581793,
4551.728553772,0.0476213172,
4547.8711566925,0.0477843657,
4544.013759613,0.0479361191,
4540.1563625336,0.0481006578,
4536.2989654541,0.0482598692,
4532.4415683746,0.0484171212,
4528.5841712952,0.0485851839,
4524.7267742157,0.0487456694,
4520.8693771362,0.048913382,
4517.0119800568,0.0490700714,
4513.1545829773,0.0492344946,
4509.2971858978,0.0493942909,
4505.4397888184,0.0495560206,
4501.5823917389,0.0497168489,
4497.7249946594,0.0498770475,
4493.86759758,0.0500422157,
4490.0102005005,0.0502061024,
4486.152803421,0.0503729917,
4482.2954063416,0.0505292118,
4478.4380092621,0.050692901,
